cycle,num_total,num_infected,num_dead
1,8160,469,0
2,8160,1049,19
3,8160,1443,148
4,8160,1654,359
5,8160,1739,604
6,8160,1571,852
7,8160,1249,1132
8,8160,844,1343
9,8160,551,1481
10,8160,372,1572
11,8160,247,1633
12,8160,191,1696
13,8160,172,1735
14,8160,185,1769
15,8160,244,1804
16,8160,284,1857
17,8160,327,1912
18,8160,383,1978
19,8160,446,2054
20,8160,467,2149
21,8160,516,2236
22,8160,587,2315
23,8160,635,2417
24,8160,664,2523
25,8160,707,2640
26,8160,760,2762
27,8160,848,2900
28,8160,848,3044
29,8160,861,3186
30,8160,888,3319
31,8160,945,3447
32,8160,947,3599
33,8160,964,3747
34,8160,948,3902
35,8160,943,4061
36,8160,947,4208
37,8160,903,4357
38,8160,897,4492
39,8160,908,4625
40,8160,881,4776
41,8160,843,4919
42,8160,824,5064
43,8160,779,5193
44,8160,726,5313
45,8160,683,5435
46,8160,626,5538
47,8160,625,5640
48,8160,608,5722
49,8160,530,5823
50,8160,534,5908
51,8160,461,6006
52,8160,450,6077
53,8160,411,6152
54,8160,397,6219
55,8160,397,6291
56,8160,362,6353
57,8160,315,6410
58,8160,310,6461
59,8160,269,6510
60,8160,265,6557
61,8160,225,6604
62,8160,206,6648
63,8160,184,6678
64,8160,159,6710
65,8160,162,6728
66,8160,147,6757
67,8160,136,6776
68,8160,139,6799
69,8160,117,6820
70,8160,98,6836
71,8160,103,6847
72,8160,86,6858
73,8160,73,6872
74,8160,71,6884
75,8160,67,6893
76,8160,52,6905
77,8160,50,6910
78,8160,37,6917
79,8160,33,6923
80,8160,29,6927
81,8160,23,6933
82,8160,26,6939
83,8160,24,6940
84,8160,18,6942
85,8160,16,6947
86,8160,13,6949
87,8160,9,6951
88,8160,13,6951
89,8160,10,6952
90,8160,10,6955
91,8160,8,6957
92,8160,6,6959
93,8160,4,6961
94,8160,4,6961
95,8160,3,6963
96,8160,4,6963
97,8160,2,6964
98,8160,1,6964
